sigma_m,trials,hard_runtime_ms,soft_runtime_ms,hard_errors,hard_rate,hard_ci_low,hard_ci_high,soft_errors,soft_rate,soft_ci_low,soft_ci_high
0.1,30000,28.27822299991567,106.0629890000655,0,0.0,0.0,0.00012803223300477713,0,0.0,0.0,0.00012803223300477713
0.2,30000,20.858687999862013,27.873612000121284,0,0.0,0.0,0.00012803223300477713,0,0.0,0.0,0.00012803223300477713
0.35,30000,20.07008600003246,23.153787999945052,269,0.008966666666666666,0.007961040109720829,0.010098029411905397,171,0.0057,0.004909103026455928,0.006617469639092595
0.5,30000,19.8800199998459,23.99585099988144,2797,0.09323333333333333,0.08999502206132956,0.09657580309462757,1875,0.0625,0.059816483807849055,0.06529554439603012
0.75,30000,21.073733999855904,24.2236149999826,10266,0.3422,0.3368517440906792,0.34758866288205714,8035,0.2678333333333333,0.2628522867333504,0.2728738295668414
1.0,30000,20.68877200008501,23.71628800005965,15880,0.5293333333333333,0.5236817544473527,0.5349774009949777,13558,0.45193333333333335,0.4463081208071062,0.45757085402489334
1.25,30000,20.04035200002363,24.29917899985412,19475,0.6491666666666667,0.643747603998085,0.654547533052402,17626,0.5875333333333334,0.5819519206772629,0.5930923318131457
1.5,30000,20.192972999893755,25.053198000023258,21612,0.7204,0.7152934413874098,0.7254501220042818,20145,0.6715,0.6661636446379446,0.6767924403061347
2.0,30000,21.41053299988016,24.289203000080306,24057,0.8019,0.797351332391733,0.8063713617459787,23070,0.769,0.764196418526354,0.7737347001322895
